domain,flag_description,dataset
addictinginfo.com,fake,https://bit.ly/2rEc4uV
occupydemocrats.com,fake,https://bit.ly/2rEc4uV
usherald.com,fake,https://bit.ly/2rEc4uV
americanpoliticnews.com,fake,https://bit.ly/2rEc4uV
eaglerising.com,fake,https://bit.ly/2rEc4uV
dailysnark.com,fake,https://bit.ly/2rEc4uV
100percentfedup.com,fake,https://bit.ly/2rEc4uV
theverge.com,fake,https://bit.ly/2rEc4uV
clashdaily.com,fake,https://bit.ly/2rEc4uV
spinzon.com,fake,https://bit.ly/2rEc4uV
theblacksphere.net,fake,https://bit.ly/2rEc4uV
politicono.com,fake,https://bit.ly/2rEc4uV
usasnich.com,fake,https://bit.ly/2rEc4uV
proudcons.com,fake,https://bit.ly/2rEc4uV
universepolitics.com,fake,https://bit.ly/2rEc4uV
allenwestrepublic.com,fake,https://bit.ly/2rEc4uV
thenewyorkevening.com,fake,https://bit.ly/2rEc4uV
smag31.com,fake,https://bit.ly/2rEc4uV
newsdaily12.com,fake,https://bit.ly/2rEc4uV
usa-radio.com,fake,https://bit.ly/2rEc4uV
thelastlineofdefense.org,fake,https://bit.ly/2rEc4uV
politicot.com,fake,https://bit.ly/2rEc4uV
oppositionreport.com,fake,https://bit.ly/2rEc4uV
donaldtrumppotus45.com,fake,https://bit.ly/2rEc4uV
trumpers.online,fake,https://bit.ly/2rEc4uV
learnprogress.org,fake,https://bit.ly/2rEc4uV
freedomdaily.com,fake,https://bit.ly/2rEc4uV
news.groopspeak.com,fake,https://bit.ly/2rEc4uV
ladylibertysnews.com,fake,https://bit.ly/2rEc4uV
uspoln.com,fake,https://bit.ly/2rEc4uV
yesimright.com,fake,https://bit.ly/2rEc4uV
undergroundnewsreport.com,fake,https://bit.ly/2rEc4uV
usadailytime.com,fake,https://bit.ly/2rEc4uV
uspostman.com,fake,https://bit.ly/2rEc4uV
obnoxioustelevision.com,fake,https://bit.ly/2rEc4uV
conservative-headlines.com,fake,https://bit.ly/2rEc4uV
empiresports.co,fake,https://bit.ly/2rEc4uV
neonnettle.com,fake,https://bit.ly/2rEc4uV
viraldevil.com,fake,https://bit.ly/2rEc4uV
proudleader.com,fake,https://bit.ly/2rEc4uV
alternativemediasyndicate.org,fake,https://bit.ly/2rEc4uV
walkwithher.com,fake,https://bit.ly/2rEc4uV
wbn12.com,fake,https://bit.ly/2rEc4uV
usafirstinformation.com,fake,https://bit.ly/2rEc4uV
rightwingnews.com,fake,https://bit.ly/2rEc4uV
floridasunpost.com,fake,https://bit.ly/2rEc4uV
now8news.com,fake,https://bit.ly/2rEc4uV
realnewsrightnow.com,fake,https://bit.ly/2rEc4uV
ilovenativeamericans.us,fake,https://bit.ly/2rEc4uV
thepoliticalinsider.com,fake,https://bit.ly/2rEc4uV
chicksontheright.com,fake,https://bit.ly/2rEc4uV
newsfeedhunter.com,fake,https://bit.ly/2rEc4uV
conservativetribune.com,fake,https://bit.ly/2rEc4uV
ihavethetruth.com,fake,https://bit.ly/2rEc4uV
fox-news24.com,fake,https://bit.ly/2rEc4uV
weconservative.com,fake,https://bit.ly/2rEc4uV
uspoliticsinfo.com,fake,https://bit.ly/2rEc4uV
tdtalliance.com,fake,https://bit.ly/2rEc4uV
fox5dc.com,fake,https://bit.ly/2rEc4uV
theredshtick.com,fake,https://bit.ly/2rEc4uV
thesolexchange.com,fake,https://bit.ly/2rEc4uV
patriotcrier.com,fake,https://bit.ly/2rEc4uV
theexaminer.site,fake,https://bit.ly/2rEc4uV
federalisttribune.com,fake,https://bit.ly/2rEc4uV
freedumjunkshun.com,fake,https://bit.ly/2rEc4uV
blog.veterantv.net,fake,https://bit.ly/2rEc4uV
antinews.in,fake,https://bit.ly/2rEc4uV
bestthings.us,fake,https://bit.ly/2rEc4uV
teddystick.com,fake,https://bit.ly/2rEc4uV
londonwebnews.com,fake,https://bit.ly/2rEc4uV
themiamigazette.com,fake,https://bit.ly/2rEc4uV
newsfeedpaper.press,fake,https://bit.ly/2rEc4uV
365usanews.com,conspiracy,https://bit.ly/2FFUCjF
4threvolutionarywar.wordpress.com,conspiracy,https://bit.ly/2FFUCjF
aheadoftheherd.com,bias,https://bit.ly/2FFUCjF
americablog.com,clickbait,https://bit.ly/2FFUCjF
americanlookout.com,clickbait,https://bit.ly/2FFUCjF
americanpatriotdaily.com,clickbait,https://bit.ly/2FFUCjF
americanthinker.com,bias,https://bit.ly/2FFUCjF
americasfreedomfighters.com,clickbait,https://bit.ly/2FFUCjF
ammoland.com,bias,https://bit.ly/2FFUCjF
anotherdayintheempire.com,conspiracy,https://bit.ly/2FFUCjF
antiwar.com,bias,https://bit.ly/2FFUCjF
antoniusaquinas.wp.com,conspiracy,https://bit.ly/2FFUCjF
bignuggetnews.com,bias,https://bit.ly/2FFUCjF
brotherjohnf.com,conspiracy,https://bit.ly/2FFUCjF
centerforsecuritypolicy.org,conspiracy,https://bit.ly/2FFUCjF
charismanews.com,bias,https://bit.ly/2FFUCjF
citizensunited.org,bias,https://bit.ly/2FFUCjF
conservapedia.com,bias,https://bit.ly/2FFUCjF
