dataset,query,duplicates
politifact,https://www.washingtonpost.com/news/post-politics/wp/2015/11/25/first-family-visits-d-c-shelter-highlights-homeless-veterans-plight/?utm_term=.04f89ee3f9b4,https://www.washingtonpost.com/news/post-politics/wp/2015/11/25/first-family-visits-d-c-shelter-highlights-homeless-veterans-plight/
politifact,http://americannews.com/busted-nasa-accidentally-destroys-every-climate-change-advocate-exposing-massive-truth-behind-antartica/,
politifact,https://web.archive.org/web/20170301092001/http://amposts.com/starbucks-just-placed-trumps-photo-floor-every-customer-step/,
politifact,http://www.americatb.com/2018/03/29/breaking-trump-just-ended-welfare-for-one-huge-group-for-5-years-let-the-riots-erupt/,
politifact,https://web.archive.org/web/20170625021133/http://freedomcrossroads.us:80/james-comey-affair-revealed,
politifact,https://100percentfedup.com/just-wapo-reporter-broke-news-judge-roy-moore-story-criminal-history-faking/,
politifact,polls.trendolizer.com/2017/12/alabama-state-police-arrest-3-poll-workers-in-birmingham.html,http://conspiracy.trendolizer.com/2017/12/alabama-state-police-arrest-3-poll-workers-in-birmingham.html
politifact,https://web.archive.org/web/20180605205653/https://thefederalistpapers.org/us/new-law-illegal-to-shower-and-do-laundry-on-same-day,
politifact,http://majorthoughts.com/chines-restaurant-in-coral-spring-florida-got-busted-for-selling-dog-meat-as-special-menu/,
politifact,http://politicot.com/mike-pence-allowing-rape-victims-abortions-will-lead-women-trying-get-raped/,
politifact,http://alternativemediasyndicate.com/2017/04/07/evangelical-leader-says-oppose-trump-punished-gay-child-2/,
politifact,https://web.archive.org/web/20170527174400/http://uspoln.com:80/2017/05/20/trumps-top-scientist-pick-scientists-just-dumb-regular-people-think-dinosaurs-existed-earth-getting-warmer,https://newslo.com/trumps-top-scientist-pick-scientists-just-dumb-regular-people-think-dinosaurs-existed-earth-getting-warmer/
politifact,http://nypost.com/2017/10/02/wife-of-las-vegas-massacre-victim-he-saved-my-life-and-lost-his/?utm_campaign=SocialFlow&utm_source=NYPFacebook&utm_medium=SocialFlow&sr_share=facebook,https://nypost.com/2017/10/02/wife-of-las-vegas-massacre-victim-he-saved-my-life-and-lost-his/
politifact,https://web.archive.org/web/20170214153057/http://uspoln.com:80/2017/02/07/john-hagee-god-made-lesbians-flat-identified-normal-people-easily-2,http://ronsnews.blogspot.com/2017/06/john-hagee-calls-for-prosecuting-women.html http://www.whale.to/c/john_hagee_calls.html
politifact,https://web.archive.org/web/20170415165124/http://thenewyorkevening.com:80/2017/04/10/breaking-malia-obama-expelled-harvard,
politifact,jis.gov.jm/president-trump-underscores-us-jamaica-relations/,https://jis.gov.jm/president-trump-underscores-us-jamaica-relations/
politifact,https://web.archive.org/web/20180125013854/http://www.thepatriotreport.net/82-year-old-who-killed-a-muslim-in-self-defense-gets-the-death-penalty/,
politifact,http://bitcoingrower.life/2018/04/15/apply-now-and-win-the-canada-diversity-immigration-visa-lottery-dv-2019-program-live-and-work-in-canada-insurance-loan-mortgage-tax-laws-mesothelioma/,
politifact,https://web.archive.org/web/20170508145802/http://americanflavor.news:80/2017/05/02/just-barack-obama-arrested-japanese-drug-bust,
politifact,http://mysteriousearth.club/2018/04/08/cia-release-documents-of-moon-moon-has-more-than-250-million-citizens/,
politifact,https://web.archive.org/web/20171114110855/http://www.soutwest-air.com:80/?,
politifact,http://jumboreport.com/hillary-clinton-furious-at-special-gift-melania-trump-sent-her-from-her-hospital-bed/,
politifact,http://www.breitbart.com/big-government/2018/02/07/food-stamp-enrollment-drops-4-million-one-month/,https://www.breitbart.com/politics/2018/02/07/food-stamp-enrollment-drops-4-million-one-month/
politifact,https://www.house.gov/content/learn/legislative_process/,http://www.house.gov/the-house-explained/the-legislative-process
politifact,www.usacarry.com/forums/politics-and-news/63339-chuck-schumer-s-steamy-affair-high-school-cheerleader-confirmed.html,
politifact,ghanaweb.website/2017/01/30/donald-trump-signs-a-visa-free-travel-policy-for-ghana/,
politifact,https://web.archive.org/web/20170828162320/http://ourlandofthefree.com:80/2017/08/remember-this-lunatic/,
politifact,http://obama.trendolizer.com/2018/02/michelle-obama-florida-shooting-is-clearly-trumps-fault-these-shootings-are-happening-constantly-sin.html,http://obama.trendolizer.com/2018/02/michelle-obama-florida-shooting-is-clearly-trumps-fault-these-shootings-are-happening-constantly-sin.html
politifact,http://www.breitbart.com/california/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,https://www.breitbart.com/local/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/
politifact,http://www.occupydemocrats.com/virginia-republican-wants-schools-to-check-childrens-genitals-before-using-bathroom/,https://occupydemocrats.com/2016/01/12/virginia-republican-wants-schools-to-check-childrens-genitals-before-using-bathroom/
politifact,https://web.archive.org/web/20170412155326/http://southernconservativextra.com:80/thall/texas-law-enforcement-officer-fatally-shot-upon-arriving-for-work-by-3-muslim-refugee-do-you-support-to-deport-them,
politifact,http://wesupportdonaldtrump.com/mexico-next-president-invasion-1-a/,
politifact,dailybuzzlive.com/cannibals-arrested-florida/,https://www.twoeggz.com/int/6039218.html
politifact,https://web.archive.org/web/20170809163245/http://americantoday.us:80/2017/08/06/breaking-barron-trump-rushed-hospital-hospital-releases-statement-condition/,
politifact,https://miamipost.co/2018/05/06/breaking-3-liberal-celebrities-arrested-for-conspiracy-to-assassinate-president-trump/,
politifact,genius.com/discussions/219349-Donald-trump-protester-speaks-out-i-was-paid-s3500-to-protest-trumps-rally,https://genius.com/discussions/219349-Donald-trump-protester-speaks-out-i-was-paid-s3500-to-protest-trumps-rally
